percent,reads_clade,reads_taxon,rank,taxid,name,db_name
0.03,3,3,S,2996051,Streptomyces sp. NA13,kraken2_basic
0.02,2,2,S,477697,Streptomyces sp. T12,kraken2_basic
0.01,1,1,S,1821625,Streptomyces sp. VN1,kraken2_basic
0.01,1,1,S,2975688,Streptomyces sp. NBC_00243,kraken2_basic
0.01,1,0,O,85006,Micrococcales,kraken2_basic
0.01,1,0,F,85016,Cellulomonadaceae,kraken2_basic
0.01,1,0,G,1707,Cellulomonas,kraken2_basic
0.01,1,0,G1,2620175,unclassified Cellulomonas,kraken2_basic
0.01,1,1,S,2973977,Cellulomonas sp. NS3,kraken2_basic
0.16,16,0,D2,1798711,Cyanobacteriota/Melainabacteria group,kraken2_basic
0.16,16,0,P,1117,Cyanobacteriota,kraken2_basic
0.15,15,0,C,3028117,Cyanophyceae,kraken2_basic
0.07,7,0,O,1161,Nostocales,kraken2_basic
0.03,3,0,F,1162,Nostocaceae,kraken2_basic
0.02,2,0,G,1177,Nostoc,kraken2_basic
0.01,1,0,S,1178,Nostoc commune,kraken2_basic
0.01,1,1,S1,449208,Nostoc cf. commune SO-36,kraken2_basic
0.01,1,0,G1,2593658,unclassified Nostoc,kraken2_basic
0.01,1,1,S,103690,Nostoc sp. PCC 7120 = FACHB-418,kraken2_basic
0.01,1,0,G,98443,Richelia,kraken2_basic
0.01,1,0,S,1357545,Richelia sinica,kraken2_basic
0.01,1,1,S1,1357546,Richelia sinica FACHB-800,kraken2_basic
0.03,3,0,F,119859,Tolypothrichaceae,kraken2_basic
0.03,3,0,G,111782,Tolypothrix,kraken2_basic
0.03,3,0,G1,2649714,unclassified Tolypothrix,kraken2_basic
0.03,3,3,S,2099387,Tolypothrix sp. PCC 7910,kraken2_basic
0.01,1,0,F,2661849,Calotrichaceae,kraken2_basic
0.01,1,0,G,1186,Calothrix,kraken2_basic
0.01,1,0,G1,2619626,unclassified Calothrix,kraken2_basic
0.01,1,1,S,1170562,Calothrix sp. PCC 6303,kraken2_basic
0.05,5,0,C1,1301283,Oscillatoriophycideae,kraken2_basic
0.04,4,0,O,1118,Chroococcales,kraken2_basic
0.03,3,0,F,1890449,Microcystaceae,kraken2_basic
0.03,3,0,G,1125,Microcystis,kraken2_basic
0.03,3,0,S,1126,Microcystis aeruginosa,kraken2_basic
0.03,3,3,S1,3113711,Microcystis aeruginosa 1339,kraken2_basic
0.01,1,0,F,1890450,Aphanothecaceae,kraken2_basic
0.01,1,0,G,28070,Gloeothece,kraken2_basic
0.01,1,0,S,2546356,Gloeothece citriformis,kraken2_basic
0.01,1,1,S1,65393,Gloeothece citriformis PCC 7424,kraken2_basic
0.01,1,0,O,1150,Oscillatoriales,kraken2_basic
0.01,1,1,F,1892254,Oscillatoriaceae,kraken2_basic
0.01,1,1,O,307595,Gloeobacterales,kraken2_basic
0.01,1,0,O,3079744,Acaryochloridales,kraken2_basic
0.01,1,0,F,1890429,Acaryochloridaceae,kraken2_basic
0.01,1,0,G,155977,Acaryochloris,kraken2_basic
0.01,1,1,S,155978,Acaryochloris marina,kraken2_basic
0.01,1,0,O,3079749,Leptolyngbyales,kraken2_basic
0.01,1,0,F,1890438,Leptolyngbyaceae,kraken2_basic
0.01,1,0,F1,3081713,Leptolyngbya group,kraken2_basic
0.01,1,0,G,47251,Leptolyngbya,kraken2_basic
0.01,1,1,S,1184,Leptolyngbya boryana,kraken2_basic
0.01,1,0,P1,1983111,unclassified Cyanobacteriota,kraken2_basic
0.01,1,0,S,718217,cyanobacterium endosymbiont of Epithemia turgida,kraken2_basic
0.01,1,1,S1,1228987,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko,kraken2_basic
0.01,1,0,P,200795,Chloroflexota,kraken2_basic
0.01,1,0,C,292625,Anaerolineae,kraken2_basic
0.01,1,0,O,292629,Anaerolineales,kraken2_basic
0.01,1,0,F,292628,Anaerolineaceae,kraken2_basic
0.01,1,0,G,2019482,Brevefilum,kraken2_basic
0.01,1,1,S,1986204,Brevefilum fermentans,kraken2_basic
2.63,263,12,P,1224,Pseudomonadota,kraken2_basic
1.81,181,15,C,1236,Gammaproteobacteria,kraken2_basic
1.06,106,11,O,91347,Enterobacterales,kraken2_basic
0.38,38,1,F,543,Enterobacteriaceae,kraken2_basic
0.13,13,1,G,561,Escherichia,kraken2_basic
0.12,12,12,S,562,Escherichia coli,kraken2_basic
0.1,10,0,F1,191675,Enterobacteriaceae incertae sedis,kraken2_basic
0.1,10,0,F2,84563,"ant, tsetse, mealybug, aphid, etc. endosymbionts",kraken2_basic
0.05,5,0,F3,84564,ant endosymbionts,kraken2_basic
0.04,4,0,G,203804,Candidatus Blochmanniella,kraken2_basic
0.03,3,0,G1,711328,unclassified Candidatus Blochmanniella,kraken2_basic
0.02,2,2,S,3118169,Candidatus Blochmannia sp. SNP,kraken2_basic
0.01,1,1,S,1505597,Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,kraken2_basic
0.01,1,1,S,108080,Candidatus Blochmanniella camponoti,kraken2_basic
0.01,1,0,G,1699619,Candidatus Westeberhardia,kraken2_basic
0.01,1,1,S,1594731,Candidatus Westeberhardia cardiocondylae,kraken2_basic
0.03,3,0,G,472825,Candidatus Purcelliella,kraken2_basic
0.03,3,3,S,472834,Candidatus Purcelliella pentastirinorum,kraken2_basic
0.01,1,0,F3,146507,aphid secondary symbionts,kraken2_basic
0.01,1,1,S,134287,secondary endosymbiont of Heteropsylla cubana,kraken2_basic
0.01,1,0,G,1682492,Candidatus Tachikawaea,kraken2_basic
